"","channel","mean","SD"
"1","Q20.1_1_1",98.4159021406728,93.1860635810566
"2","Q20.1_2_1",61.1557788944723,57.3274385118915
"3","Q20.1_3_1",35.9565217391304,33.6257231641495
"4","Q20.1_4_1",29.1111111111111,34.736809910136
"5","Q20.1_5_1",37.2361111111111,49.6792489655166
"6","Q20.1_6_1",31.8271604938272,33.7744549136445
"7","Q20.1_7_1",33.3728813559322,37.4416461327638
"8","Q20.1_8_1",30.1666666666667,37.6739159586838
"9","Q20.1_9_1",42.0434782608696,55.9882116333183
"10","Q20.1_10_1",31.3666666666667,41.0537774593053
"11","Q20.1_11_1",59.7878787878788,80.2082280597499
"12","Q20.1_12_1",26.0833333333333,28.7795764161252
"13","Q20.1_13_1",34.9707112970711,38.7169645019885
"14","Q20.1_14_1",29.5287958115183,31.7073452907115
