"","Regression","(Intercept)","income_weekly","hh_size","rural","Appalachia","Delta","GL_Midwest","Heartland","RemoteAreas","Northeast","Northwest","RioGrande","Southeast","Southwest","locally_grown","organic","local_econ","afford","healthy","social_resp","access","Adjusted_R2"
"1","Regression_1",0.00134459104398465,0.305096376961126,1.15853909392098e-62,2.14672991832073e-09,0.762411494221135,0.163605404360354,0.191707667800195,0.08267748194882,0.735449476438777,0.950129855691362,0.496690236791138,0.446019624039203,0.244547940280415,0.29887696716004,0.352387858456079,0.842583680762632,0.695200756587446,0.714179717872118,0.491679562117638,0.906323559627715,0.387937474327291,0.0858134969006817
"2","Regression_10",0.0985180995997335,1.66373248636505e-06,3.80442558238198e-10,0.0127009758643317,0.0440087728113644,1.02888301773375e-05,0.10177504990976,1.45195903146959e-09,0.531851842306897,0.737893503750956,0.0187049588509273,0.20965629554614,0.14479846123684,0.441888866808421,0.571178368597731,0.320433066528506,0.447438029317518,0.961456890988718,0.0647228753822068,0.0428606128973827,0.682538653327288,0.0779895643756832
"3","Regression_11",0.88528945555787,6.6714650407573e-09,5.08209141965528e-09,0.000567151747261654,0.114305208208678,0.0025831359621391,0.355233936144083,1.06788600467535e-05,0.302444039723874,0.978194277059844,0.736894512571455,0.968991192427267,0.679515263518364,0.793745854316442,0.661426581150268,0.479974056677867,0.888353531940838,0.335590186316773,0.851141873887457,0.787368793436211,0.908874205892535,0.0551089472699927
"4","Regression_12",0.514246069285614,6.74452468949537e-05,4.51559316383259e-15,0.00169583343964867,0.0756270007318914,0.0418922399670133,0.012891917782044,0.000245243730052438,0.227973904359148,0.846281422989451,0.0314194996112345,0.795861683263186,0.910129212532089,0.816990781477066,0.871246605128507,0.518600822192598,0.390012737547835,0.380471166712219,0.651155653589996,0.328743302351763,0.929107431084144,0.058420821775059
"5","Regression_2",0.0097426380451281,8.3264575320562e-21,0.524947320333855,7.89410426766119e-06,8.73458164913889e-05,0.403438443532441,0.0593561405664089,0.0106866235863528,0.0293633659351442,0.639231373890011,0.0127737323538255,0.476875499801776,0.00523340158973754,0.879135391376457,0.175202583111302,0.691044410425362,0.307282849610176,0.000199735946236194,0.603676538078187,0.690307461014285,0.140091279770218,0.0660785802694681
"6","Regression_3",0.28589585834138,1.21313070494102e-12,2.143035753067e-07,7.21597014678546e-07,0.114393099148483,1.98617513269523e-19,0.00745808478184199,3.81517597769371e-12,0.0310377198088636,0.135726053806262,0.0364790654302408,0.679273409900986,0.975104345454762,0.976348763703949,0.568022370401654,0.701108287102352,0.464887157588155,0.242102422715017,0.704435140532291,0.288027963540099,0.114730593798046,0.137912304759066
"7","Regression_4",2.9348588847885e-06,0.744404045371897,1.96285121694034e-34,0.0931130763605151,0.903887996204254,0.286444282701129,0.480765597296065,3.21735502878172e-07,1.7568589840656e-05,0.0190136364378659,0.139168792064029,0.29780151320116,0.103449364989089,0.372988340050579,0.632671707894916,0.50880132633822,0.340144836547746,0.578079466404927,0.229654486875538,0.0139067996866823,0.080231513030233,0.0611450148823939
"8","Regression_5",0.307444833932601,7.4257990132543e-07,3.95319240101226e-18,0.0438182849174636,0.846697291799164,0.000114309769569297,0.835557108918219,0.000115941637564111,0.773390579769357,0.183310272188417,0.226885488008345,0.772728381651589,0.73918794809272,0.668149721374397,0.713060899069323,0.529501040607802,0.461621653513748,0.746441194294428,0.993133489187834,0.174081012907918,0.832317116098485,0.066175341295891
"9","Regression_6",0.000731540825276568,0.00469045342010204,1.70731661698242e-24,0.00340670288861594,0.865112438930183,0.33291771718502,0.3892370987574,0.232398620959873,0.0801547503679668,0.177207837415327,0.00199158816674967,0.310889954032884,0.501133719442068,0.73298023796936,0.155332909552253,0.0431996609841172,0.651240379826111,0.141099483816111,0.608588288579699,0.770367987688519,0.204852219659999,0.0404703015528026
"10","Regression_7",0.0278254817061465,3.0531204033177e-08,2.41495033792044e-05,0.940753942085522,0.0390070192000072,0.00021258654770557,0.761209788138283,0.000926179931334823,0.589800263754745,0.790338705080155,0.647381772755149,0.254682398366859,0.394770569979969,0.688776664286227,0.470219033010474,0.217275600435388,0.500119604282547,0.676615264591564,0.100290338888106,0.127227210251379,0.974790819999906,0.0414010623298061
"11","Regression_8",0.17984327502423,0.00223301642406626,6.88106603764141e-08,0.0843196648949712,1.26942129626378e-05,2.83072766904433e-07,0.016533963214275,1.78504097976159e-08,0.0522990009388482,0.401878258508094,0.00958442003446072,0.846223804203002,0.371212466358654,0.937232764009191,0.906854730591266,0.63750868487358,0.765423674618691,0.944273411714299,0.64623738967846,0.606802978037023,0.916475793590467,0.0733783639753733
"12","Regression_9",0.0726680806044861,0.000672737611047676,5.28083870908699e-08,0.32403865173327,0.327053764957003,0.00194776317054471,0.0384227428509109,1.05517572841576e-09,0.871383436592173,0.338802543030395,0.0259943234595193,0.240493050585793,0.181927213859243,0.454623412052633,0.508557540462551,0.400391020122723,0.574018063246239,0.94341147827271,0.278339766228459,0.176333506940927,0.768487859338977,0.0542863188831091
