"","Regression","(Intercept)","income_weekly","hh_size","rural","Appalachia","Delta","GL_Midwest","Heartland","RemoteAreas","Northeast","Northwest","RioGrande","Southeast","Southwest","locally_grown","organic","local_econ","afford","healthy","social_resp","access"
"1","Regression_1",34.1039672337869,0.00152498361021945,15.4092022181821,17.0015430077616,1.05326224194569,-5.30017812370661,-4.07745694442378,-6.58135396822153,0.962133924595063,-0.255781996688591,2.06582669741706,-6.96629587992709,11.4819932773258,-9.25179926301581,9.00397122288915,-3.79609600087598,-3.29775627048851,-3.35216436747377,-6.28432727564614,-1.27092701034246,-7.6570252474426
"2","Regression_10",2.94693022275542,0.00119678364245371,0.954503327648569,-1.18528868605506,1.17756558491519,2.81888912500116,0.857492127012831,-3.85748699705782,-0.298689840926342,-0.229621909794375,-1.19941461452715,-1.92420145199698,-2.41403223762793,-1.14903615272006,-0.919923762563684,-3.18672467124679,-1.07284430548133,-0.0742100010484634,-2.83285480500412,-3.67045088111183,-0.608577818247529
"3","Regression_11",0.470608619583903,0.00265157837337439,1.62895611955353,-2.99965801804593,1.68860401747542,3.52003099462963,0.886017587024223,-5.12957321365007,0.901166336436749,-0.0343035010141637,-0.313349755120199,0.109047261897084,-1.25082108276376,-0.714502547597718,-1.30117206894433,-4.1435916214681,0.362610145261628,2.70474704773388,0.526294878819895,-0.893975676226971,-0.3115034114834
"4","Regression_12",2.23799186029066,0.00191452191677135,2.3022557568348,-2.87288892586156,1.99836324242618,2.49905649826845,2.50763914977931,-4.49216815139299,1.10820163796229,0.255918958631049,-2.11147565433375,-0.763338519758663,-0.359465587129212,-0.665209695247561,0.506495468178911,-3.98294809705744,2.33545196825445,2.59116912072804,1.33381417484248,-3.40492722188427,-0.254680018344542
"5","Regression_2",17.6163791930992,0.0089637540361819,0.369266792264997,-8.12448853407281,8.76840934789565,-2.0371112415631,3.77454478749979,6.20603777874568,3.97688512656454,1.22866900598564,4.85187199106842,-4.16736109853794,-17.6642471529132,-0.867874035848398,-8.41255013954873,4.86891902413334,5.50744292015181,21.8356962177444,3.04046521882325,2.75786389091345,8.38705114392773
"6","Regression_3",4.07306308671102,0.00380425110729502,1.69046738292003,-5.04942294727596,1.97509584570593,12.3745064507917,3.00131088069444,-9.48169628433098,2.20541136412055,2.19088158868594,-2.28286055149225,-1.35693431020004,-0.110542479772729,-0.0947888474587317,-1.98470407062189,-2.63420655208233,2.20852515536317,3.84422423426839,1.24466165222399,-4.12006585831247,5.02292040041008
"7","Regression_4",12.5061334869808,-0.000121821686910213,2.81333738396846,-1.19600541613042,-0.10572092678676,1.01914615175503,-0.553341963939944,-4.87740953133143,-3.07604965230932,-2.41113723195622,-1.12966870535572,-2.39185262148659,-4.03792344218905,-1.99382442437956,-1.16290603217092,-3.17390589830279,-2.01769356030631,-1.27930565493627,-2.75900363820775,-6.67825231651343,-3.89941400855598
"8","Regression_5",5.28429965903521,0.00359014783673916,3.84965147481628,-2.78293193798819,-0.328067757127589,7.15516910931493,0.315731844029421,-7.12527291074461,-0.399348204724989,2.65077268297594,-1.78894936636016,-1.28583277756305,-1.59984068824573,-1.85940480183917,-1.73411434283867,-5.85410959053814,3.01801096005668,-1.44139361039031,-0.0383060008752158,-7.15063483480314,-0.914558846564889
"9","Regression_6",13.7122061736016,-0.00160540029436509,3.55633244938322,3.16890731555931,0.225877444722665,-1.40594588168396,-1.02626121441023,-1.72839722886034,-1.90201325904337,-2.10648822729577,-3.58812651830109,3.5356135647698,2.53315661149439,1.15956372289674,5.2511779811442,-14.7538305234391,1.45213279420889,-5.14172216562102,-1.78615890963549,-1.20319901390826,-4.29179428790916
"10","Regression_7",7.93525270294674,0.00279911285151262,1.29978036791857,-0.0714518244637364,2.44037809218955,4.78408401105292,0.321965282544996,-4.26355919871614,-0.520829362669187,-0.368887253633185,-0.471627259235786,-3.53268831797113,-2.84855507971083,-1.21005514709863,-2.37193522719511,-8.00206111899195,-1.92549957267875,-1.29512420138337,-5.09622690426454,-5.58898005533567,0.0950762092216043
"11","Regression_8",3.06222459967148,0.000976855817916539,1.05183996647428,-1.05069863126247,3.27011768924108,4.2017754145445,1.60811726886266,-4.59512572840622,1.18706340159066,-0.736289449957317,-1.69152815319351,0.38072992528419,-1.89478041310903,-0.150607562327194,-0.243283504727753,-1.93435126782737,0.539327781786741,0.13739806702794,-0.900860793061266,-1.19371268252183,-0.199743570391572
"12","Regression_9",3.72462808813315,0.000987535112996305,0.964336351045253,-0.545476981889559,0.66647483792669,2.30172890464323,1.26221571543479,-4.52554981074682,-0.0899794950582561,-0.76355536115323,-1.32101033693392,-2.09428925940304,-2.57069066621986,-1.29967590180065,-1.24922712615288,-3.13750100204677,-0.923479391284176,0.126802571025478,-1.93373858842208,-2.85053123727074,-0.509502858137552
