"","(Intercept)","income_weekly","locally_grown","organic","local_econ","afford","healthy","social_resp","access"
"1",49.4850566592786,0.0121108628572332,-11.3522468070705,12.2626842197984,-10.2804602576737,25.460768533736,-9.92354062751927,5.91982122522728,0.044071912427134
"2",35.2551184912495,0.00219670851635139,0.166910143438958,-8.20618810678965,-2.45594427164872,-11.5181618908937,3.74918179370024,0.057557309650902,-8.4185466339269
"3",9.8730306333688,0.00350043478169269,2.90628187823221,5.3157084959982,-1.24725028562818,-9.16161408219397,1.24144914574378,3.32327840753849,-4.08942170622771
"4",8.74304074081575,-0.00172714189593305,0.98969232060527,2.90146864747745,0.74218175865741,1.00957871355584,-0.789839852846598,-0.171346855569953,0.00703876337655102
"5",11.9717454761545,0.00766811447611147,-1.75031697741927,13.4733506682547,-1.53917297489107,-15.8680129724229,3.09551396982255,8.93928677310336,0.548701626537773
"6",29.5393742229319,-0.000979674346078715,0.42876606550277,-6.76208220034018,-2.77413831422286,-4.37915981041729,-2.21258366253976,4.32075138961235,-5.81950239768162
"7",6.29914145340198,0.00159584719994428,5.66657564737561,-0.948549888269556,2.03811153954678,-3.39715125830771,0.631416011277592,-0.186222553621757,5.00001883877188
"8",5.88559356167218,0.00137623956499108,3.61158921440726,-0.00727104721365242,-0.33064167168347,-4.61423196737321,2.27845534870367,1.05297225431483,-1.50154983561566
"9",3.9794972297999,0.00054633708568727,1.24078953397937,-0.197459504476066,-0.724146426798577,-2.56419471872487,-0.443356341382803,-1.37816871529194,-1.67621286755038
"10",4.46759624547683,0.00107387405096069,3.8751604332911,1.86281927715774,-2.06410944950056,-3.40547513585907,-0.853251877094209,-1.60885894444247,-1.66352868217128
"11",13.339804879191,0.00327225742947482,0.804492326308238,6.11471195622978,-5.01396699588068,-12.0681747418168,-3.15778033003017,5.28995817610552,-1.82615709366888
"12",6.24781010228574,0.00462061019156956,2.50913148795508,5.73724340849583,1.20253117102862,-7.75495875697623,1.3048418435595,2.05637027572517,-1.59660659726353
"13",16.4140490065699,0.00782768021501558,1.52299901940132,6.81209387472966,-7.34529886269892,-3.01510005753382,1.20165492365093,6.18832962404253,-2.54417537775305
"14",3.42579521855587,0.0100860971287439,3.92374595125043,2.75529786590701,0.393529674187662,-0.323429953594648,-0.26529652135138,0.823190025182702,-5.75016410202219
