"","Regression","(Intercept)","income_weekly","locally_grown","organic","local_econ","afford","healthy","social_resp","access","Adjusted_R2"
"1","Regression_1",6.43803553028592e-47,9.67651293921276e-95,0.172595243811173,0.281379227032875,0.468495516351191,0.0217087474714671,0.220869384642056,0.436692625815978,0.978163241386596,0.119274100535253
"2","Regression_10",8.52568531946651e-09,0.00556192713688417,0.0453022655221639,0.0282031950874707,0.535954125736116,8.08614770114628e-08,0.0997044720744917,0.618718019055092,0.0132036577243742,0.0184315501519127
"3","Regression_11",0.00167630853552928,0.112832062295062,0.290663420672814,0.177340971765968,0.735607257403658,0.0555285422499674,0.671867304269635,0.654323526345476,0.355099960126141,0.00130969104652556
"4","Regression_12",6.61836181630019e-10,2.96250616222223e-09,0.315217178265238,0.163902090918394,0.593279635120028,0.0625499133871203,0.341370637428829,0.766607903324276,0.00036947575797984,0.0118378408694654
"5","Regression_13",7.00079825968936e-19,1.98402831896658e-30,0.36154673820181,0.321331570938758,0.151908983211171,0.266633387686774,0.0315268227971312,0.57845086688853,0.123000647330682,0.0415695318844448
"6","Regression_14",1.83858217555173e-15,2.60284145491642e-21,0.144897099206923,0.886737729744227,0.314494380548684,0.258887004168709,0.0800343686087878,0.34161300700413,0.903051768141455,0.0280003715721344
"7","Regression_2",6.72195016248852e-38,2.12651205783856e-86,0.0775340219842363,0.921456601903502,0.31779449831928,0.421759580874254,0.910541783173809,0.682574230577598,0.775352208815887,0.107912309243192
"8","Regression_3",0.000614269238728363,9.29535677071048e-05,0.503130137604821,3.47659951146168e-06,0.261755524697272,0.199191480904884,0.96084804602074,0.947738686077834,0.0405255892026856,0.0157021194645887
"9","Regression_4",1.93530611746038e-31,1.68923805107308e-45,0.289964999789233,0.30285670677364,0.126494843473568,0.000803283007083398,0.000216306958035391,0.114833077694746,0.119683470205711,0.0604953874443513
"10","Regression_5",4.29183909229893e-10,4.79945061685184e-12,0.271172546369106,0.0643505813609114,0.305044227320418,0.188005385987605,0.0716747400691113,0.28986936518506,0.248987304035736,0.0153416990618787
"11","Regression_6",3.36541483222954e-31,7.34646205257123e-60,0.60030216536937,0.0350206325639619,0.147768654608386,0.139971572174083,0.0156225519179178,0.188955219476856,0.00439350437412916,0.0790220420321307
"12","Regression_7",1.21399241581261e-08,1.21738069946425e-16,0.82277429452008,0.0041709625150181,0.77506864825091,0.187403857264749,0.565927711100281,0.986285528661559,0.648634005015643,0.0199949390350684
"13","Regression_8",4.78224738883146e-12,7.864143491232e-12,0.257196128578889,0.179341178599104,0.602559747632557,6.16689846091338e-06,0.855134394549213,0.728541583772786,0.00217622119658838,0.0244745363915944
"14","Regression_9",0.000401227478768465,0.00691161701017199,0.781891129121372,0.0104571231309177,0.427042941020387,0.00132939423808494,0.554228078101749,0.277748663987281,0.0854061334436625,0.0116322663362759
